CELL_LINE_NAME	AEW541	Nilotinib	17-AAG	PHA-665752	Lapatinib	Nutlin-3	AZD0530	PF2341066	L-685458	ZD-6474	Panobinostat	Sorafenib	Irinotecan	Topotecan	LBW242	PD-0325901	PD-0332991	Paclitaxel	AZD6244	PLX4720	RAF265	TAE684	TKI258	Erlotinib
CHP-212	-1		-1	0	1	0	-1	0	0	0	-1	0		-1	-1	-1		-1	-1	1	0	-1	0	1
CI-1	0	1	-1	0	1	0	0	0	1	-1	-1	1	-1	-1	1	0	0	-1	0	1	0	0	0	1
CMK-86	0	0	-1	0	0	0	0	-1	0	1	-1	0	-1	-1	1	0	-1	-1	0	0	-1	-1	-1	0
COLO 201	0	0	-1	1	1	1	0	0	1	1	-1	0		-1	0	-1	0	-1	-1	-1	-1	-1	0	1
COLO 205	0	0	-1	0	1	0	1	0	0	0	-1	0		-1	0	-1	0	-1	-1	-1	-1	-1	0	0
COLO-320	-1	0	-1	1	0	1	1	0	1	0	-1	0	-1	-1	1	1	0	-1	1	1	-1	-1	0	0
COLO-677	0	0	-1	0	0	0	1	0	0	0	-1	0	-1	-1	0	-1	0	-1	0	1	0	0	0	1
COLO-678	0	1	-1	1	0	0	0	1	1	0	-1	0	0	0	0	-1	1	-1	0	1	0	0	0	0
COLO-679	0	0	-1	1	1	0	1	1	1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	0	0	1
COLO-699	0	0	-1	1	0	1	0	0	0	0	-1	0	-1	-1	1	0	0	-1	1	1	0	0	0	1
COLO 741	0		-1	0	1	0	1	0	0	0	-1	1		-1	-1	-1		-1	-1	0		0	0	0
COR-L105	1		0	1	0	1	0	1	1	0	-1	1		0	1	0		-1	0	1	0	1	0	0
COR-L23	0	1	-1	1	1	1	1	1	1	1	-1	0	-1	-1	1	0	1	-1	1	1	0	0	1	1
COV318	0	0	0	1	1	1	0	1	1	0	-1	1	-1	-1	1	1	1	-1	1	0	0	0	0	1
COV504	0	1	-1	1	1	1	0	1	1	0	-1	1		0	1	0	1	-1	1	1	0	0	1	1
Daoy	0	1	-1	1	1	1	1	1	1	0	-1	1	-1	-1	0	1	1	-1	1	1	0	0	0	1
DBTRG-05MG	0	1	-1	0	1	0	0	1	1	0	-1	0	-1	-1	1	-1	1	-1	-1	0	-1	0	0	1
DEL	0	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	0	0	0	-1	0	0	-1	-1	0	1
Detroit 562	1	0	-1	0	1	0	0	1	1	0	-1	1		0	0	0	0	-1	0	1	0	0	1	0
DK-MG	1	1	-1	1	1	1	1	0	1	0	-1	1	0	0	1	0	0	-1	0	1	0	1	0	1
DMS 114	-1	0	-1	0	1	1	1	-1	0	0	-1	0		-1	0	1	0	-1	0	1	0	0	0	1
DOHH-2	-1	0	-1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	1	0	0	-1	1	0	-1	0	-1	0
DOV13	0	0	-1	1	1	1	1	1	1	0	-1	0	-1	-1	0	1	1	-1	1	1	0	0	0	1
DU 145	0	1	-1	1	0	1	0	0	1	0	-1	1	-1	-1	1	0	1	-1	0	1	-1	0	0	0
